"Species","Year","Region","Index","Index_q_0.025","Index_q_0.05","Index_q_0.25","Index_q_0.75","Index_q_0.95","Index_q_0.975"
"Hirundinidae1",2007,"Continental",9.21540737287004,9.0080045004901,9.04358621980732,9.14598475690773,9.28649310903719,9.38682496619049,9.42912041206352
"Hirundinidae1",2008,"Continental",9.01900451319236,8.81170529626816,8.84097665423953,8.94674005539204,9.09201688636182,9.19672748996329,9.23403447982705
"Hirundinidae1",2009,"Continental",8.99976023349269,8.79413763134442,8.82679561292554,8.92292374566656,9.06893129062824,9.16704621791404,9.19678161497598
"Hirundinidae1",2010,"Continental",8.87645596526356,8.68603804542916,8.71197700644901,8.80700772296633,8.94338274086279,9.03877254982297,9.06859740177462
"Hirundinidae1",2011,"Continental",8.76580616225833,8.57172381988566,8.60348989031858,8.69977911914171,8.83615498100385,8.92982356057006,8.9613952913581
"Hirundinidae1",2012,"Continental",8.73148097548344,8.53822177514373,8.56653701290726,8.66335806671776,8.8017470937349,8.90318475222108,8.9357478725375
"Hirundinidae1",2013,"Continental",8.32149371675596,8.13291881700868,8.16349457243696,8.25600558211446,8.38213634570647,8.47619740223825,8.50615949986411
"Hirundinidae1",2014,"Continental",8.27232292870116,8.0933965053086,8.12222571333199,8.20985161269442,8.33419575732828,8.42835362637339,8.45570555689426
"Hirundinidae1",2015,"Continental",8.33572625669582,8.1519045964912,8.18098839859318,8.26973420432285,8.40059129128174,8.4942732321296,8.53102619262317
"Hirundinidae1",2016,"Continental",8.11606206196072,7.93157196893909,7.96121475796045,8.05172763626583,8.1783632507293,8.27459617187457,8.30785668124627
"Hirundinidae1",2017,"Continental",7.97750395715244,7.79255418985819,7.82030332051551,7.91296902261276,8.04440370875897,8.14170738242384,8.17820831107576
"Hirundinidae1",2018,"Continental",7.8396349398533,7.64746158437681,7.67461147935217,7.77043153930042,7.91162891634766,8.01470479636198,8.05465129580556
"Hirundinidae1",2019,"Continental",7.40722920672571,7.18751559983501,7.22550650186342,7.33174848604828,7.48336063938091,7.58992719983661,7.63550680654663
"Hirundinidae1",1970,"BC",9.41729705714273,6.91947215029448,7.31044661660707,8.43877417064673,10.516628266313,12.2999796255406,12.9958646353398
"Hirundinidae1",1971,"BC",9.86769633222492,7.53559929891013,7.8430603277826,8.96763580367874,10.9037603089309,12.5447504254006,13.181288558554
"Hirundinidae1",1972,"BC",10.3770571443686,8.09626635463858,8.44221195635496,9.51815413750549,11.3309110010621,12.79069986948,13.2618634370538
"Hirundinidae1",1973,"BC",10.2760153747533,8.41522283374155,8.69649436059395,9.59124811465606,11.0182248555584,12.1770956186245,12.6283374385839
"Hirundinidae1",1974,"BC",11.7719576641141,9.8013351185863,10.0888372062411,11.0608764211287,12.5307250210365,13.7943238347609,14.188054289404
"Hirundinidae1",1975,"BC",12.1399982686073,10.1352494395111,10.4940211400735,11.4073014053734,12.9252698782351,14.1874516598455,14.6488691885869
"Hirundinidae1",1976,"BC",11.3188831357391,9.43114836225875,9.76190903684538,10.6128698032101,12.0485824931547,13.298163858261,13.7102247367503
"Hirundinidae1",1977,"BC",12.5844429767903,10.4340250984051,10.8146653834755,11.8243894896699,13.4455498753051,14.7602904347071,15.2290448926256
"Hirundinidae1",1978,"BC",13.0814489524372,10.8193620108428,11.2193032778443,12.2802698610354,13.9115004489205,15.2330976302425,15.7309869098687
"Hirundinidae1",1979,"BC",12.8511747317597,10.8183319859051,11.1261911570466,12.0937303087525,13.6862057760194,15.0614191164707,15.6168434085533
"Hirundinidae1",1980,"BC",14.4417043724627,11.988370323511,12.2941591003985,13.5063530625186,15.4155787446227,16.9014104911899,17.3931314642708
"Hirundinidae1",1981,"BC",12.5566229958683,10.4778979983677,10.7701891126316,11.8067489558725,13.3467467084119,14.5864898425968,15.0077943436169
"Hirundinidae1",1982,"BC",13.19384547995,11.0039230686109,11.3028840282127,12.3921375191194,14.1009613630573,15.4611134454062,15.9869515663578
"Hirundinidae1",1983,"BC",11.3030414089044,9.46605829210541,9.73058769428265,10.6403829226124,12.0413027526323,13.1525625020957,13.5456619537195
"Hirundinidae1",1984,"BC",11.1566683964076,9.28980692086242,9.57123385980798,10.4553162382241,11.8851424424207,12.9075070748329,13.249777482253
"Hirundinidae1",1985,"BC",12.1450205074925,10.0317147098502,10.3473464324588,11.339561082686,12.9386252020947,14.320723644207,14.7405709548879
"Hirundinidae1",1986,"BC",11.2210153069742,9.38029210350128,9.62679327694419,10.549419894806,11.9164841245639,13.0144360325654,13.3704985821513
"Hirundinidae1",1987,"BC",10.7206189906766,8.75545215190153,9.03045633735361,10.0041332325285,11.5275023013516,12.7628889771695,13.1718343624743
"Hirundinidae1",1988,"BC",9.05500505507032,7.53832118275449,7.77519471594394,8.50626861022387,9.61284124357963,10.5354836169576,10.8958129833238
"Hirundinidae1",1989,"BC",7.73631232455736,6.46624877871477,6.64085193602797,7.27327914929881,8.27083684341501,9.05857189092774,9.30857668426275
"Hirundinidae1",1990,"BC",8.49347869316573,7.05124499782567,7.30637312675808,7.98949771334266,9.0323147607373,9.86616449660082,10.188278023875
"Hirundinidae1",1991,"BC",7.82705183961269,6.55275224477364,6.75116865585485,7.36392313643647,8.32485866622809,9.15837598661588,9.45896895529436
"Hirundinidae1",1992,"BC",6.65127184922116,5.56830410183473,5.69717394020567,6.23512075472252,7.05751668180295,7.7154057894796,7.96051658978592
"Hirundinidae1",1993,"BC",6.48670555364041,5.41530833647774,5.5863265386668,6.09808317704569,6.91832650441361,7.63298118020605,7.89064233282978
"Hirundinidae1",1994,"BC",6.35163711119966,5.31839532570501,5.4773313208974,5.98678263409095,6.75246134468729,7.37919648885798,7.62090292342216
"Hirundinidae1",1995,"BC",5.21281440794914,4.3849477072387,4.48253514705057,4.89556931998464,5.5388397950432,6.01796076700953,6.19309924587037
"Hirundinidae1",1996,"BC",4.75748256416402,4.00983290196786,4.12901034350011,4.49528360978035,5.05645516011591,5.48934017101472,5.67216900583522
"Hirundinidae1",1997,"BC",4.70888360936071,3.91123080514211,4.03706954498986,4.43007488389068,5.01845298685867,5.52120150594723,5.66460645270782
"Hirundinidae1",1998,"BC",4.21701989040686,3.54265238402683,3.64054647250328,3.982717701597,4.47089632112321,4.8592827862386,4.97187486542762
"Hirundinidae1",1999,"BC",3.60948606028613,3.01128201457712,3.10746253874555,3.38113418851665,3.84074772655613,4.18110740992783,4.28334816189657
"Hirundinidae1",2000,"BC",3.24032042840124,2.70740676456323,2.78520587058813,3.04567912739966,3.45018017605271,3.76574067056361,3.87878060085279
"Hirundinidae1",2001,"BC",2.78832443958115,2.3212679235226,2.37811878714769,2.61486659136357,2.96773494287247,3.23501544969238,3.31850861989173
"Hirundinidae1",2002,"BC",2.72781850145638,2.24250074818753,2.33174848199564,2.56090970713565,2.89614586717276,3.17561592409976,3.25500673475352
"Hirundinidae1",2003,"BC",2.56386824905585,2.14982422086775,2.21361658424992,2.41769705823291,2.73125808420862,2.98503134707452,3.06868062160391
"Hirundinidae1",2004,"BC",2.77757854448719,2.30929837503874,2.37140106517005,2.60651220428677,2.98808571947345,3.35529756870788,3.47534818427787
"Hirundinidae1",2005,"BC",2.46755746604553,2.07369560692894,2.12864513275577,2.32385006997596,2.63141709874715,2.87022411387253,2.96578004173145
"Hirundinidae1",2006,"BC",2.50101152206149,2.07773221842202,2.1449946172617,2.35009929861731,2.65373661911316,2.91842660574607,3.00349287387007
"Hirundinidae1",2007,"BC",2.31217735701867,1.93592560540598,1.98719835177596,2.17343416604668,2.46385592603508,2.70433298417982,2.78334628010167
"Hirundinidae1",2008,"BC",2.34460149144384,1.93168219714089,1.99418292322851,2.19722579036329,2.50179277093444,2.75653171396096,2.84647942040241
"Hirundinidae1",2009,"BC",2.24062878051034,1.85615485814445,1.90512959358643,2.09715890296098,2.38964512325228,2.64193567658946,2.71861287655457
"Hirundinidae1",2010,"BC",2.18961344353956,1.81953548537867,1.87068356686773,2.06020439599853,2.32731218121318,2.54983783019137,2.62516036515785
